time,phoneme,target_plosives,non_target_plosives,target_vowels,vocalic
0.0,<p:>,0.31082878,0.010002082,0.014060189,0.022482336
0.01,<p:>,0.33708337,0.014384587,0.010847762,0.019096162
0.02,<p:>,0.32301798,0.014558547,0.008783823,0.014368729
0.03,<p:>,0.30831993,0.013692735,0.008321273,0.011726611
0.04,<p:>,0.29726756,0.012925383,0.007774122,0.009717195
0.05,<p:>,0.2881013,0.0125394035,0.007383764,0.008392032
0.06,<p:>,0.27820793,0.012205742,0.0069006705,0.007362563
0.07,<p:>,0.269787,0.011987957,0.006485234,0.006570478
0.08,<p:>,0.26213714,0.011739389,0.006139456,0.005953815
0.09,<p:>,0.25588468,0.011631338,0.0058716694,0.005465486
0.1,<p:>,0.25004345,0.011452805,0.00563932,0.005023662
0.11,<p:>,0.24500583,0.011275953,0.0054349536,0.0046441033
0.12,<p:>,0.24137098,0.011190635,0.0052621006,0.0043336335
0.13,<p:>,0.2383358,0.011062609,0.005101919,0.0040652524
0.14,<p:>,0.23662372,0.011028944,0.0049921134,0.0038655845
0.15,<p:>,0.23662885,0.011131268,0.004939072,0.0037229059
0.16,<p:>,0.23759869,0.011341971,0.0049167727,0.0036085048
0.17,<p:>,0.23944326,0.011607242,0.0049225055,0.0035184412
0.18,<p:>,0.24545717,0.012100089,0.005021317,0.0035013866
0.19,<p:>,0.25519177,0.012807098,0.005154892,0.0035081478
0.2,<p:>,0.2684024,0.013824667,0.005352405,0.0035532755
0.21,<p:>,0.28430232,0.015230088,0.005677712,0.0036749942
0.22,<p:>,0.3001028,0.01669037,0.0059982543,0.0037717978
0.23,<p:>,0.32164606,0.018962335,0.006505074,0.003979481
0.24,<p:>,0.34825167,0.021890635,0.0071173706,0.0042443145
0.25,<p:>,0.38260302,0.026294252,0.007835263,0.004613214
0.26,<p:>,0.4248435,0.03239157,0.008778926,0.0051299455
0.27,<p:>,0.48042938,0.041660517,0.00980221,0.005717318
0.28,<p:>,0.5702446,0.05863486,0.0113659315,0.0069037406
0.29,<p:>,0.7034688,0.12836681,0.05482356,0.022432769
0.3,<p:>,0.7473641,0.18754894,0.15827139,0.06021074
0.31,<p:>,0.7500354,0.25057563,0.3302542,0.1782547
0.32,<p:>,0.508045,0.16340663,0.28275487,0.20855346
0.33,<p:>,0.30840978,0.055695076,0.093557835,0.08512582
0.34,<p:>,0.18706582,0.024770662,0.031178825,0.033447776
0.35000000000000003,<p:>,0.16065212,0.02318975,0.021463735,0.024160102
0.36,<p:>,0.18685722,0.04114527,0.02539972,0.02550893
0.37,<p:>,0.22020885,0.06886901,0.027539808,0.026057672
0.38,<p:>,0.27783775,0.109075606,0.026806563,0.028900722
0.39,<p:>,0.33858654,0.18484636,0.035561882,0.03907099
0.4,<p:>,0.24603145,0.035381164,0.15178344,0.1855487
0.41000000000000003,<p:>,0.21504235,0.024864154,0.060271252,0.08561964
0.42,<p:>,0.18158533,0.020985246,0.041207552,0.05923719
0.43,<p:>,0.14585055,0.016952364,0.029735362,0.039206088
0.44,<p:>,0.11617455,0.013377951,0.021378413,0.02672541
0.45,<p:>,0.098918445,0.01122566,0.018413203,0.021685014
0.46,<p:>,0.092653096,0.010433481,0.01820263,0.019706799
0.47000000000000003,<p:>,0.08619927,0.009451634,0.016865972,0.017561205
0.48,<p:>,0.08047003,0.008320813,0.014982668,0.014955963
