time,phoneme,vocalic,consonantal,back,anterior,open,close,nasal,stop,target_vowels,target_plosives,non_target_plosives,continuant,lateral,flap,trill,voice,strident,labial,dental,velar,pause
0.0,<p:>,0.02644706,0.016379908,0.05217473,0.0071009556,0.03425214,0.0019677847,0.008029341,0.01067679,0.037917115,0.018187366,0.0021380119,0.014191646,0.021502277,0.074739665,1.2051111e-05,0.015331142,0.020913314,0.0063329353,0.006518619,0.014668974,0.99247587
0.01,<p:>,0.010583254,0.008373683,0.019707901,0.002513995,0.012811472,0.00057163055,0.0026744327,0.006168331,0.018420126,0.012081955,0.00094030716,0.006816791,0.007442975,0.036803104,4.793078e-06,0.005773248,0.009529468,0.003847543,0.0033469303,0.00874586,0.99683404
0.02,<p:>,0.005151819,0.0050196424,0.009268924,0.0010175568,0.00607246,0.0002150595,0.0010638225,0.003595245,0.0090996055,0.007828864,0.0004823734,0.0038856391,0.0031546284,0.020291265,2.390832e-06,0.0028154256,0.005210277,0.0022159617,0.0018071205,0.005151804,0.99826676
0.03,<p:>,0.0034631735,0.0037067458,0.0064281207,0.0006490997,0.004037287,0.00014880755,0.00075135083,0.0025509135,0.0057468726,0.005667648,0.00035859557,0.0029686848,0.0020419701,0.013252127,1.6326693e-06,0.0018958884,0.0038025246,0.0015569148,0.0013025438,0.0035994435,0.9987727
0.04,<p:>,0.002659162,0.0030390776,0.0053157336,0.00044508858,0.0030774407,0.00012006398,0.0006282227,0.0019477367,0.004096241,0.004171327,0.00029043233,0.0025775516,0.0014418893,0.009521415,1.0858372e-06,0.001457337,0.0031660215,0.0011450731,0.0010272034,0.0027159099,0.9990576
0.05,<p:>,0.0022910032,0.0028062244,0.004804495,0.00038836955,0.0026688944,0.00011463849,0.0005787203,0.0017369067,0.0033762641,0.0036056892,0.00026994073,0.0024060006,0.0011741308,0.008111777,9.4700374e-07,0.0012540311,0.00284984,0.0010157775,0.00093298353,0.0023850165,0.999183
0.06,<p:>,0.0020237735,0.002521182,0.0043784436,0.00031494978,0.00231096,9.825969e-05,0.0004730871,0.0015358408,0.0029583345,0.003157908,0.00023244802,0.0021843144,0.0008923396,0.0068361172,7.802429e-07,0.0010870955,0.0024736205,0.00088818866,0.0008114695,0.002082356,0.9992977
0.07,<p:>,0.002008362,0.002442506,0.0044544996,0.00035114656,0.0023892433,0.00011193003,0.00058612955,0.0015579434,0.0029090052,0.0031851353,0.00024184195,0.0019943225,0.00094739423,0.0062354533,7.9882346e-07,0.0010751556,0.002176981,0.0009800624,0.0008622552,0.0020947785,0.9993195
0.08,<p:>,0.0017598412,0.0021017743,0.003994896,0.0002924521,0.0020243148,8.982552e-05,0.000526103,0.0013878735,0.0025792818,0.0029543035,0.00019772294,0.0016896229,0.00079632725,0.0051224693,6.1323686e-07,0.0009121197,0.0018008765,0.00088287075,0.00075379456,0.0018822774,0.999426
0.09,<p:>,0.0015380505,0.0019041942,0.0036217677,0.00022731046,0.0017306588,7.13621e-05,0.0004495427,0.0012232699,0.002211299,0.002676873,0.00016981865,0.0015255533,0.0006794892,0.0044360436,5.0481367e-07,0.0007938845,0.001569916,0.0007712745,0.0006603622,0.0016946348,0.9994921
0.1,<p:>,0.0012978762,0.001667156,0.0031013398,0.00013857838,0.0013629983,4.6643298e-05,0.0002836829,0.0010089029,0.0019790528,0.002234167,0.00013216217,0.0014052538,0.00044453904,0.0038516517,3.615967e-07,0.00064898987,0.0014096986,0.00058287533,0.00052400806,0.0013948007,0.9995732
0.11,<p:>,0.0010845136,0.001506429,0.002584786,0.00011209399,0.001114401,3.901183e-05,0.00021276723,0.00090034504,0.00176621,0.0019858098,0.00011653655,0.0013042253,0.00033386998,0.0034958425,3.0323437e-07,0.00054599845,0.001300784,0.00050703506,0.00046631834,0.0012293732,0.99963015
0.12,<p:>,0.0009866023,0.0015019187,0.0024235742,0.00015235027,0.0010665415,5.4938493e-05,0.000288216,0.0009474223,0.0016630064,0.0019926156,0.00013529407,0.0012984248,0.00037970662,0.003363932,3.2831443e-07,0.0005183242,0.0012903775,0.0005793574,0.0005459478,0.0012692636,0.99964637
0.13,<p:>,0.0009871974,0.0015017642,0.0024368083,0.0001653268,0.0010694859,6.2427025e-05,0.00034926189,0.0009862207,0.0016762975,0.0020189313,0.00014614087,0.0013023998,0.00042322619,0.0032219638,3.445546e-07,0.0005183504,0.0012595647,0.00062521436,0.00058875605,0.0012913333,0.99964637
0.14,<p:>,0.00095934066,0.0014347155,0.0023862899,0.00014179334,0.0010173192,5.3669602e-05,0.0003180268,0.0009373959,0.0016258068,0.0019524142,0.00013213017,0.0012764079,0.0003793759,0.0029614405,3.0602303e-07,0.00049173314,0.0011779998,0.00058048137,0.00054646493,0.001246939,0.9996607
0.15,<p:>,0.00085646677,0.0012402029,0.0021804515,9.337377e-05,0.0008502594,3.5660025e-05,0.00022677187,0.0008037611,0.0014934061,0.0017213,0.00010433583,0.0011891339,0.00026278594,0.002490143,2.2297901e-07,0.00042564693,0.0010050022,0.00046993417,0.00045780753,0.0010793468,0.9997089
0.16,<p:>,0.0007077449,0.0011931999,0.0018119729,8.464412e-05,0.00069158647,3.3105e-05,0.00019788738,0.0007972072,0.001344112,0.0016828232,0.00010489628,0.0011858959,0.00023678943,0.0024739127,2.2196973e-07,0.0003635613,0.0010060206,0.00044623797,0.0004512472,0.0010559125,0.9997362
0.17,<p:>,0.00054803136,0.0011555628,0.0013690399,8.090967e-05,0.0005478909,3.1166197e-05,0.00016768585,0.0007854036,0.0010740596,0.001692973,0.00010090086,0.0011245806,0.00021956365,0.0022836712,2.315773e-07,0.00029196872,0.0009906928,0.00043300696,0.00043316983,0.0010685705,0.99976254
0.18,<p:>,0.0005218042,0.0011578359,0.0012760679,7.3745534e-05,0.0005186603,2.9166096e-05,0.00015020705,0.0008026139,0.0010036487,0.0017140541,0.00010179229,0.0011440326,0.00019377015,0.0021481211,2.4877053e-07,0.00027786105,0.0009779754,0.00043984843,0.00044271516,0.0010749636,0.9997611
0.19,<p:>,0.0005936261,0.0012559694,0.0014228711,7.794265e-05,0.0005894124,3.2296728e-05,0.00016314659,0.0008883321,0.0011253319,0.0018662527,0.00011614428,0.0012450869,0.00019743055,0.002230851,3.1373068e-07,0.00031583416,0.0010162427,0.0005065266,0.00050031685,0.0011603932,0.9997364
0.2,<p:>,0.00073764543,0.0014518214,0.0017118827,0.00010665125,0.0007577192,4.5621633e-05,0.00023148813,0.001121695,0.0013819188,0.0022986522,0.0001623847,0.0014254006,0.00025570538,0.0024993205,5.184144e-07,0.00039221413,0.0011108868,0.00069987896,0.00066747185,0.0013960361,0.9996831
0.21,<p:>,0.00076548936,0.0014683267,0.0017105922,0.00011517254,0.0007920892,4.945046e-05,0.00023908817,0.0011874915,0.0013640273,0.0024679,0.00017409075,0.0014385133,0.0002609914,0.002397438,5.990301e-07,0.00040290557,0.0011060286,0.0007832533,0.0007163754,0.0014894792,0.9996664
0.22,<p:>,0.00078111375,0.0015219084,0.001732165,0.0001081415,0.0008005812,4.704893e-05,0.00022206886,0.0012156176,0.0013963392,0.0025757393,0.0001767455,0.001490365,0.00025596638,0.002448486,6.9305645e-07,0.00041217444,0.0011618609,0.00081303343,0.00071565754,0.00154181,0.99965066
0.23,<p:>,0.00087921484,0.001744765,0.0019179465,0.0001499536,0.0009587562,6.4920976e-05,0.00030546074,0.0014892819,0.0015713875,0.0030517452,0.00023465343,0.0015837664,0.00034560758,0.002903776,1.0662843e-06,0.00047699764,0.0012757634,0.0010606727,0.00091214734,0.0018221596,0.9995968
0.24,<p:>,0.0009990328,0.0019919407,0.002056703,0.00024279403,0.001155543,0.000103740975,0.00047785047,0.0018344162,0.0017491066,0.0037226179,0.00030895075,0.0016808608,0.0005217527,0.0033876866,1.4998286e-06,0.0005577387,0.0014105501,0.0014207812,0.0011824782,0.0022911283,0.9995382
0.25,<p:>,0.0011775162,0.00217722,0.002323589,0.00032302292,0.0013819471,0.00013553696,0.0006472425,0.0020720677,0.0019337217,0.004286718,0.0003391204,0.0018001032,0.00065665063,0.0035727543,1.7327077e-06,0.0006429455,0.0015105926,0.0017253613,0.001364334,0.0026773722,0.99948186
0.26,<p:>,0.0011791673,0.0020907084,0.0024148973,0.00027787723,0.0013392492,0.000116274816,0.0006118462,0.0020037491,0.0018187958,0.0042759804,0.00029785477,0.0018399153,0.0005833068,0.0032276348,1.4740885e-06,0.0006273629,0.001458863,0.0016027945,0.0013082706,0.002656547,0.99949473
0.27,<p:>,0.00090145273,0.0018838655,0.001963166,0.00016974675,0.0009833636,7.2062074e-05,0.00039312,0.0017851663,0.0014228915,0.003904769,0.00023773954,0.0017627884,0.00041977328,0.0027431222,1.1751789e-06,0.0005023017,0.0013680714,0.0012715837,0.0011070394,0.002424274,0.999547
0.28,<p:>,0.00068998925,0.0017674301,0.0014893472,0.00013588842,0.0007379899,5.8819616e-05,0.00028171207,0.0016925371,0.0010762521,0.0037718657,0.00021833072,0.0016586161,0.000339876,0.0023412951,1.1477347e-06,0.000403128,0.0013430722,0.00123163,0.0010257503,0.0023819753,0.9995846
0.29,<p:>,0.00069969246,0.0018918567,0.0014695409,0.00015508098,0.00076566293,6.909527e-05,0.0003039559,0.001941693,0.001110579,0.0042905905,0.00025957765,0.0016896535,0.00037507547,0.00232745,1.5454075e-06,0.00041751313,0.0013755288,0.0015073725,0.0011940735,0.0026926298,0.9995532
0.3,<p:>,0.0008213296,0.0021548432,0.00159553,0.00021626921,0.000925153,9.587532e-05,0.00037903513,0.0023569276,0.0012140648,0.0051407833,0.00032129625,0.0018061076,0.00046563055,0.0025182625,2.211907e-06,0.0004779072,0.0014886878,0.0019570803,0.0014458286,0.0032582844,0.9994852
0.31,<p:>,0.00090773345,0.0024542022,0.0016664839,0.00026451133,0.0010395115,0.0001152112,0.00044069515,0.0027786687,0.001372366,0.006002828,0.0003668713,0.0019955444,0.00055237126,0.0028401683,2.9472576e-06,0.0005185075,0.0016883148,0.002423793,0.0016558566,0.003952962,0.99941504
0.32,<p:>,0.0009766909,0.002764932,0.0019004866,0.0002699044,0.0011398159,0.00012729781,0.00051179336,0.0031959312,0.001604022,0.006878235,0.000416931,0.00223636,0.0006503533,0.0032664882,3.674546e-06,0.00057335215,0.0019332339,0.0028833118,0.0019068768,0.0045583197,0.9993369
0.33,<p:>,0.000891359,0.0029576018,0.0018194469,0.00030191403,0.0010768033,0.00015378984,0.0006198983,0.0036307229,0.0014902551,0.008008842,0.0004695314,0.002253206,0.000806497,0.003473474,4.0607383e-06,0.00056898873,0.0021150864,0.0033036482,0.002237998,0.0054157744,0.999306
0.34,<p:>,0.0008420155,0.0031791092,0.0017341899,0.00033109143,0.001037543,0.00018157596,0.00065777055,0.0042056926,0.0013707372,0.009350054,0.0005118381,0.002348042,0.0008880765,0.0036722163,4.615661e-06,0.00056916586,0.002317815,0.0037822619,0.0025841296,0.006685323,0.99925244
0.35000000000000003,<p:>,0.0010427881,0.003941522,0.0021290793,0.0004239298,0.0013236674,0.00024472,0.0007925444,0.0057426156,0.0016208531,0.012468,0.0007103681,0.0028920437,0.0010560327,0.004398536,8.61234e-06,0.00070598803,0.0028199367,0.0053488747,0.0035762545,0.009615652,0.99900055
0.36,<p:>,0.0011843613,0.0048893434,0.0023153971,0.00046133294,0.001462973,0.00025977817,0.00069970015,0.0077077164,0.0018794861,0.015933255,0.00090179377,0.00355337,0.0010886692,0.0052514276,1.7289447e-05,0.0007801474,0.0037191869,0.007479671,0.004442979,0.013902387,0.99868387
0.37,<p:>,0.0012337615,0.005841802,0.0024001494,0.0005136233,0.0015087203,0.0002699603,0.00059076556,0.010877524,0.0023886657,0.020998705,0.0013100723,0.004289188,0.0011981912,0.0062353862,3.8708284e-05,0.0008231888,0.004963752,0.010619394,0.0056895628,0.019824313,0.99829847
0.38,<p:>,0.0013529197,0.007447477,0.0022393963,0.000877985,0.0017741742,0.00039252834,0.00062136346,0.016547054,0.0027776924,0.031700235,0.0024188568,0.004911088,0.0017712478,0.007161195,9.7415825e-05,0.00093969767,0.0057179206,0.017476479,0.008917407,0.029684322,0.9978192
0.39,<p:>,0.002403961,0.012512722,0.0034645693,0.0022639825,0.0032443102,0.0011214649,0.0012623053,0.030557316,0.0046207486,0.053299956,0.007814195,0.008734206,0.0044598607,0.009815441,0.00045718934,0.0017123031,0.0075030415,0.03318624,0.016575867,0.049813602,0.9965763
0.4,<p:>,0.018107688,0.014650585,0.041558854,0.005892913,0.022532849,0.002062256,0.0059231687,0.008229848,0.02243166,0.013154315,0.0020058958,0.016976742,0.014973867,0.057077676,8.957942e-06,0.010721139,0.022571318,0.0043328903,0.0056751254,0.012120399,0.9942928
0.41000000000000003,<p:>,0.0066498476,0.0076095196,0.015221553,0.0019628746,0.0077280593,0.0005981783,0.0022113915,0.0045248303,0.009786648,0.0078013777,0.0009227032,0.0077119838,0.004983797,0.027184386,4.1321227e-06,0.0038509823,0.009837911,0.0027141902,0.0029211603,0.006226114,0.9976664
0.42,<p:>,0.0047675758,0.0058437996,0.012104216,0.0011188537,0.0058732433,0.00039760195,0.0019268246,0.0033254672,0.0068563647,0.006045688,0.00077159394,0.0050694006,0.003845776,0.018381314,3.6492552e-06,0.0029034407,0.0061999816,0.0021857813,0.002242066,0.004068742,0.9981862
0.43,<p:>,0.003901518,0.004786587,0.010625563,0.0007625039,0.0048186122,0.00030709125,0.0015540977,0.0025283755,0.0050641536,0.00452864,0.00061657716,0.004015452,0.002758993,0.0142207015,2.5561872e-06,0.002341706,0.004866318,0.0016145365,0.0017231136,0.0029927848,0.9985013
0.44,<p:>,0.0031183998,0.003823724,0.00908524,0.0005289659,0.0037330128,0.00024314984,0.0011155832,0.0019252518,0.0038916843,0.0033391563,0.00045898402,0.0033983607,0.0016664404,0.010814172,1.4606753e-06,0.0018137039,0.003945598,0.0011446069,0.001312004,0.0023099885,0.99886864
0.45,<p:>,0.0026428038,0.003319423,0.00785858,0.0005124672,0.003164008,0.00025098375,0.0011251281,0.0018021383,0.0035495597,0.0029116909,0.00044088674,0.0029048629,0.0013991586,0.0091473125,1.1701151e-06,0.0015451404,0.0032997676,0.0011151853,0.001279829,0.0020921014,0.9990441
