time,phoneme,target_plosives,non_target_plosives,target_vowels,vocalic
0.0,b,0.5282584,0.42249686,0.8247267,0.5487697
0.01,a,0.21694703,0.4833076,0.8786242,0.7300047
0.02,a,0.044447865,0.3495713,0.94108003,0.88460034
0.03,a,0.014687684,0.25075987,0.9721318,0.953757
0.04,a,0.008189132,0.17253879,0.97859186,0.9711542
0.05,a,0.0065066274,0.11252784,0.9623474,0.96440625
0.06,a,0.005971326,0.080636665,0.92230475,0.92245656
0.07,a,0.031388707,0.07192241,0.9119725,0.81078935
0.08,t,0.6264247,0.06160124,0.9055413,0.70896435
0.09,t,0.85121495,0.050775565,0.88494676,0.62185895
0.1,t,0.92428774,0.055505343,0.854693,0.5543457
0.11,t,0.96707547,0.06414469,0.7317054,0.35613456
0.12,t,0.99113506,0.09731529,0.42017943,0.1264376
0.13,t,0.9966712,0.09446901,0.12708046,0.021660283
0.14,t,0.9970419,0.098625384,0.054827124,0.012310286
0.15,t,0.9906217,0.10597193,0.12366406,0.044625986
0.16,t,0.9594398,0.093484156,0.5751566,0.2593168
0.17,a,0.64811903,0.05667659,0.9314711,0.76733655
0.18,a,0.16224886,0.056514796,0.9577069,0.9131954
0.19,a,0.048130166,0.07814335,0.92380196,0.94068766
0.2,a,0.008817299,0.09246989,0.8443336,0.9556694
0.21,e,0.00643534,0.044493627,0.6641938,0.9576961
0.22,e,0.07269101,0.026168304,0.6039902,0.8979656
0.23,k,0.6613189,0.016401432,0.58673114,0.7461112
0.24,k,0.9328798,0.010466538,0.43175438,0.45109048
0.25,k,0.96553206,0.00851425,0.26336938,0.2570277
0.26,k,0.9801793,0.007799657,0.15307145,0.12767994
0.27,k,0.989814,0.008174383,0.09445561,0.05862977
0.28,k,0.9970452,0.008654219,0.04717962,0.018169057
0.29,k,0.9987885,0.006782057,0.047948807,0.0102514075
0.3,k,0.99894243,0.0074998327,0.05155243,0.0066685867
0.31,k,0.99848557,0.0123227285,0.05550737,0.009321441
0.32,k,0.99490625,0.021413257,0.20649889,0.043513138
0.33,k,0.96031225,0.031882733,0.72454756,0.3550577
0.34,a,0.5311791,0.025537444,0.97401786,0.86221904
0.35000000000000003,a,0.086578615,0.023213407,0.99342644,0.96706694
0.36,a,0.026203064,0.029966637,0.9941757,0.976435
0.37,a,0.00812846,0.047499243,0.98953706,0.96906877
0.38,a,0.003265653,0.094921075,0.9825723,0.9494416
0.39,a,0.0065940022,0.13735491,0.971799,0.8922103
0.4,a,0.07035283,0.21923807,0.968623,0.9227592
0.41000000000000003,a,0.013268101,0.10071203,0.99166626,0.9708965
0.42,a,0.00384269,0.042347252,0.9928474,0.98068357
0.43,a,0.0025479174,0.021530747,0.9895351,0.9790474
0.44,a,0.0052234153,0.022672923,0.9795719,0.95885557
0.45,a,0.0791587,0.037283186,0.96051645,0.885099
0.46,a,0.58482224,0.05365569,0.9398143,0.79824424
0.47000000000000003,p,0.79586625,0.047362234,0.9211683,0.729209
0.48,p,0.8851213,0.03722059,0.89846295,0.67514914
0.49,p,0.9257452,0.03274375,0.87082595,0.5717448
0.5,p,0.970317,0.042311836,0.7542005,0.33989155
0.51,p,0.99166685,0.06582786,0.42440435,0.11388167
0.52,p,0.9972247,0.06393915,0.07781969,0.015645325
0.53,p,0.99608445,0.05087394,0.03209038,0.015791427
0.54,p,0.983251,0.056121226,0.14765668,0.07587996
0.55,p,0.9602603,0.044537168,0.8095497,0.34885886
0.56,a,0.71013236,0.019438997,0.9828244,0.88242155
0.5700000000000001,a,0.13371755,0.013029899,0.99269426,0.982696
0.58,a,0.02321519,0.01492906,0.9917102,0.9913826
0.59,a,0.0042909062,0.025415525,0.98672855,0.9891026
0.6,a,0.00226928,0.035691947,0.95774335,0.97152925
0.61,a,0.0067932513,0.030075038,0.92997956,0.9158261
0.62,a,0.100707956,0.019135065,0.8838251,0.76810545
0.63,t,0.6525276,0.030025156,0.8848951,0.5834499
0.64,t,0.86403656,0.041177772,0.8613622,0.5029405
