time,phoneme,target_plosives,non_target_plosives,target_vowels,vocalic
0.0,p,0.9278781,0.44346303,0.11829866,0.1187412
0.01,p,0.9376064,0.46565485,0.29020703,0.23440854
0.02,p,0.859767,0.38547972,0.49437508,0.59780437
0.03,w,0.6404225,0.30683675,0.6571505,0.80429494
0.04,w,0.38436252,0.29346645,0.69837534,0.87734956
0.05,w,0.15922566,0.25056416,0.70876473,0.9353052
0.06,w,0.04788581,0.18053296,0.7527858,0.97092104
0.07,w,0.013594222,0.14483605,0.8281716,0.98296064
0.08,a,0.0057507833,0.14014198,0.8650313,0.9852806
0.09,a,0.0042225793,0.14242192,0.9071497,0.9816394
0.1,a,0.005055091,0.17360647,0.94096667,0.9686375
0.11,a,0.0047676098,0.16872378,0.9561373,0.9476783
0.12,a,0.005587688,0.12814996,0.9480485,0.89408946
0.13,a,0.045137864,0.1350703,0.90873194,0.7840279
0.14,a,0.7715626,0.0786518,0.84108394,0.4692392
0.15,t,0.91905755,0.06236075,0.6865697,0.32234174
0.16,t,0.9515676,0.059877925,0.5767507,0.24697289
0.17,t,0.96241516,0.060727436,0.4443607,0.17132361
0.18,t,0.9716017,0.06187393,0.3320143,0.111970656
0.19,t,0.9800564,0.06424279,0.2442588,0.071562
0.2,t,0.98862743,0.0709581,0.17675965,0.041628983
0.21,t,0.99522334,0.085421965,0.10282311,0.019570528
0.22,t,0.99823284,0.09599387,0.10964873,0.0132076675
0.23,t,0.99708724,0.09573486,0.13428056,0.020776019
0.24,t,0.9847997,0.09577131,0.6932613,0.19650345
0.25,a,0.9134125,0.06320395,0.9563059,0.8097925
0.26,a,0.45817724,0.032943584,0.99070776,0.97733283
0.27,a,0.09785451,0.022942625,0.99458367,0.99217
0.28,a,0.025644721,0.027098807,0.9959688,0.99496734
0.29,a,0.007971877,0.03320335,0.99722755,0.99635834
0.3,a,0.0035442747,0.04403256,0.99797213,0.9964801
0.31,a,0.002750519,0.051109295,0.99806637,0.99570304
0.32,a,0.0023533134,0.05649142,0.9976092,0.99423546
0.33,a,0.002113575,0.06526847,0.99692804,0.99111015
0.34,a,0.0031315547,0.091687985,0.9955552,0.9803003
0.35000000000000003,a,0.012638669,0.11724252,0.98886025,0.9327006
0.36,a,0.25098908,0.1659033,0.9506209,0.74221706
0.37,a,0.7384997,0.2683393,0.819558,0.4958107
0.38,a,0.8506306,0.24217816,0.63038194,0.37524492
0.39,a,0.8961975,0.3260654,0.36390844,0.18818532
0.4,k,0.9778561,0.06608028,0.16999206,0.076814696
0.41000000000000003,k,0.99400777,0.056486096,0.14111932,0.035698447
0.42,k,0.9968748,0.07152319,0.4425734,0.06852161
0.43,k,0.9969774,0.06498253,0.56161684,0.09042708
0.44,k,0.9928778,0.07613855,0.6683821,0.17967713
0.45,k,0.91606987,0.05642215,0.889442,0.61552894
0.46,a,0.35936677,0.03371747,0.9835197,0.9403267
0.47000000000000003,a,0.07629243,0.03037757,0.9920503,0.98408884
0.48,a,0.023182135,0.055448283,0.9921106,0.9894015
0.49,a,0.010030471,0.079878725,0.991521,0.9902601
0.5,a,0.0056099,0.0950485,0.9904934,0.9898638
0.51,a,0.0034892256,0.09261012,0.9903078,0.98830456
0.52,a,0.0020471136,0.07592605,0.9890458,0.9846499
0.53,a,0.0010610446,0.058799203,0.98682123,0.97242683
0.54,a,0.001823697,0.051432393,0.973067,0.9203071
0.55,a,0.050654422,0.08298101,0.90335673,0.6547308
0.56,p,0.71664107,0.17808063,0.6930198,0.2809787
0.5700000000000001,p,0.9193113,0.21649212,0.5306359,0.20157075
0.58,p,0.964421,0.1904776,0.47667643,0.15138303
0.59,p,0.97876155,0.18974689,0.36246,0.08753318
0.6,p,0.98631555,0.21212402,0.21933633,0.044632595
0.61,p,0.99240196,0.25534183,0.07665957,0.019476071
0.62,p,0.9934526,0.24151939,0.06155866,0.01937811
0.63,p,0.9793631,0.2388295,0.1584421,0.07186313
0.64,p,0.95284694,0.17728311,0.5201836,0.29696932
0.65,p,0.7733572,0.07319308,0.63531053,0.80666816
0.66,p,0.4064899,0.039864242,0.6512741,0.9305257
0.67,p,0.17172667,0.05452465,0.79059184,0.97044927
0.68,a,0.052305613,0.066069975,0.8950186,0.9828156
0.6900000000000001,a,0.014629033,0.07001236,0.94093275,0.98910534
0.7000000000000001,a,0.0056401966,0.08134678,0.97069,0.9909028
0.71,a,0.004189246,0.09943777,0.98251855,0.9884953
0.72,a,0.004199048,0.1131095,0.98617005,0.97713554
0.73,a,0.0043607377,0.104773216,0.9835252,0.93329996
0.74,a,0.01403221,0.122940876,0.9527159,0.7884773
0.75,a,0.24012995,0.2426407,0.7913733,0.3872962
0.76,r,0.70685744,0.25987986,0.4179803,0.21478108
0.77,r,0.817195,0.25697622,0.30689955,0.19022821
0.78,t,0.8973313,0.30744502,0.19955385,0.13821775
0.79,t,0.93350863,0.36782652,0.09498618,0.09508021
0.8,p,0.904279,0.09856246,0.08405823,0.23239608
0.81,p,0.94223326,0.08563216,0.073322624,0.15777446
0.8200000000000001,p,0.96776825,0.10502806,0.09751387,0.10014774
0.8300000000000001,p,0.98368144,0.14176022,0.08276842,0.05161871
0.84,p,0.99468976,0.17902939,0.06340714,0.019681238
0.85,p,0.9973254,0.22007407,0.115514174,0.016453004
0.86,p,0.9943307,0.19210146,0.18119565,0.046496227
0.87,p,0.95955503,0.14253089,0.539901,0.4417303
0.88,o,0.6084395,0.07595627,0.75648695,0.9230597
0.89,o,0.12845294,0.0470223,0.80538803,0.98354125
0.9,a,0.041050315,0.07930796,0.82383925,0.9858444
0.91,a,0.017327143,0.1254839,0.862449,0.9855374
0.92,a,0.008029179,0.13643461,0.9322483,0.98836464
0.93,a,0.004335749,0.11882119,0.9716996,0.98986906
0.9400000000000001,a,0.002765859,0.099155076,0.9874736,0.9900672
0.9500000000000001,a,0.0023886159,0.093683206,0.99017644,0.9837522
0.96,a,0.00320494,0.09156579,0.9879603,0.9575417
0.97,a,0.005334444,0.078521095,0.9764968,0.8661023
0.98,a,0.024324091,0.07409209,0.9315822,0.59949553
0.99,a,0.33288643,0.059756197,0.7754173,0.28903142
1.0,a,0.8163266,0.054032985,0.607013,0.19279927
1.01,k,0.9140083,0.047959447,0.3235583,0.12793687
1.02,k,0.9346484,0.05490353,0.20750247,0.10274293
1.03,k,0.9472956,0.063254,0.16257432,0.08060525
1.04,k,0.96570885,0.07719927,0.117908806,0.05662459
1.05,k,0.9821286,0.09412538,0.06803924,0.03279346
1.06,k,0.9911619,0.11473662,0.036328457,0.017408498
1.07,k,0.99577403,0.13554558,0.024656009,0.009604616
1.08,k,0.99675894,0.18208331,0.21736814,0.024037655
1.09,k,0.9954263,0.17109849,0.39064434,0.05832793
1.1,k,0.9915754,0.14775455,0.37527677,0.081072725
1.11,k,0.970917,0.14970781,0.3118515,0.11098871
1.12,k,0.8267027,0.17843553,0.6014727,0.3249089
1.1300000000000001,a,0.45161238,0.11096712,0.7764314,0.7071682
1.1400000000000001,a,0.1365011,0.08470501,0.85455513,0.8891799
1.1500000000000001,a,0.03899129,0.11837152,0.8917429,0.9516848
1.16,a,0.015978072,0.13246213,0.8846189,0.96726745
1.17,a,0.0077847266,0.19931623,0.872054,0.9614997
