time,phoneme,vocalic,consonantal,back,anterior,open,close,nasal,stop,target_vowels,target_plosives,non_target_plosives,continuant,lateral,flap,trill,voice,strident,labial,dental,velar,pause
0.0,a,0.7464112,0.3995927,0.8551608,0.05330164,0.78859246,0.0631752,0.76127714,0.152194,0.90137726,0.13842827,0.27727482,0.2003464,0.20764075,0.5327145,0.08628165,0.887041,0.093227334,0.6866895,0.10848163,0.057312064,0.004733376
0.01,a,0.88099676,0.1716377,0.9494328,0.031988174,0.9252562,0.046760503,0.6182102,0.07144292,0.95808876,0.03301091,0.16267964,0.06440073,0.052814785,0.3772083,0.03757526,0.9694033,0.016661031,0.48779815,0.045904156,0.02192908,0.00015590622
0.02,a,0.9717975,0.040660735,0.9850443,0.06490435,0.98142546,0.046401262,0.17514256,0.028182907,0.98042446,0.009444603,0.09498062,0.02455534,0.019877458,0.23332126,0.015998827,0.9887314,0.0066647343,0.10439455,0.024922274,0.013780218,0.00010700014
0.03,a,0.98565656,0.017683582,0.99121827,0.07847173,0.9910943,0.03774461,0.05437595,0.017128285,0.98406374,0.0043591126,0.059971128,0.015557365,0.017274885,0.16668455,0.007556461,0.9917673,0.0056240507,0.028592374,0.02090492,0.00965457,0.00011125942
0.04,a,0.9751194,0.025995534,0.98622507,0.08358583,0.9854244,0.03897423,0.06310823,0.030428758,0.98014873,0.007047507,0.07841253,0.038057942,0.033596396,0.17372243,0.011526617,0.9815366,0.019793779,0.029809574,0.034139063,0.016034381,0.00014353964
0.05,a,0.9517173,0.06023468,0.975888,0.046329275,0.96893734,0.022987423,0.09618898,0.103265524,0.9771896,0.07935109,0.11070331,0.093805775,0.05372836,0.22226529,0.012939289,0.9411057,0.07466419,0.106567755,0.12115926,0.055418387,0.0007533598
0.06,a,0.93174034,0.12156907,0.9607678,0.01690823,0.93719524,0.021769794,0.08683817,0.29002357,0.9740951,0.31016204,0.15850489,0.115105,0.038056858,0.28290895,0.008270773,0.8728757,0.11276623,0.25923413,0.39600426,0.07939429,0.0015708745
0.07,t,0.8796183,0.20740233,0.9244493,0.013435907,0.8831645,0.027726911,0.096205525,0.5512053,0.9670688,0.6283665,0.12544869,0.1073418,0.035815153,0.31435126,0.0061573326,0.74554026,0.13049382,0.4068453,0.694791,0.11705673,0.0041314014
0.08,t,0.7391534,0.40048596,0.84395915,0.010474946,0.77973384,0.028344486,0.08488694,0.77502227,0.9518973,0.84036386,0.095515,0.11653573,0.0291438,0.31763616,0.0044901343,0.5732613,0.16597825,0.5379431,0.869532,0.17023574,0.012108836
0.09,t,0.39457357,0.7850585,0.5396101,0.00677146,0.46201986,0.026378904,0.06196327,0.9265908,0.77967274,0.9637455,0.13106667,0.11598316,0.024997123,0.250679,0.0035887258,0.19910346,0.12169866,0.65460783,0.9311269,0.21179008,0.029211674
