time,phoneme,target_plosives,non_target_plosives,target_vowels,vocalic
0.0,<p:>,0.18195736,0.030823223,0.30825734,0.24649824
0.01,<p:>,0.19754213,0.024454447,0.25978765,0.21971959
0.02,<p:>,0.19041848,0.026756754,0.2589576,0.25901544
0.03,<p:>,0.1780972,0.02198818,0.27629957,0.27921012
0.04,<p:>,0.16822493,0.022857679,0.32920292,0.3255367
0.05,<p:>,0.17114908,0.026211675,0.38957897,0.38149393
0.06,<p:>,0.16232301,0.025861058,0.4052582,0.38556504
0.07,<p:>,0.16706887,0.030879503,0.444874,0.42232943
0.08,<p:>,0.1638047,0.028023845,0.44685572,0.43099636
0.09,<p:>,0.17550881,0.028924577,0.52329963,0.45854867
0.1,<p:>,0.16448876,0.026405092,0.5286129,0.486101
0.11,<p:>,0.17711183,0.031990368,0.56927454,0.52162933
0.12,<p:>,0.18255888,0.03275485,0.577528,0.51615274
0.13,<p:>,0.19704643,0.037354518,0.6122194,0.549909
0.14,<p:>,0.1940042,0.03645724,0.59908986,0.5383042
0.15,<p:>,0.20897537,0.046246327,0.57569844,0.5279069
0.16,<p:>,0.22098844,0.05260253,0.5832667,0.5375929
0.17,<p:>,0.23278065,0.056011487,0.62398624,0.57181466
0.18,<p:>,0.22983435,0.05790932,0.60684943,0.55166876
0.19,<p:>,0.25143144,0.07137171,0.63540685,0.57239705
0.2,<p:>,0.26260442,0.08606317,0.6467432,0.5872978
0.21,<p:>,0.2828262,0.11697199,0.7083598,0.65094626
0.22,<p:>,0.2924153,0.14295293,0.74976146,0.69310415
0.23,l,0.28745323,0.15174091,0.77036804,0.709421
0.24,l,0.2729665,0.16486236,0.7994417,0.7266974
0.25,l,0.24638045,0.16975796,0.8193658,0.74272436
0.26,l,0.22493128,0.16542138,0.84803736,0.76296794
0.27,l,0.22733358,0.15848498,0.8645025,0.75754565
0.28,l,0.25657022,0.15538691,0.8583725,0.7270651
0.29,l,0.28319868,0.17437677,0.8074965,0.65284544
0.3,l,0.33709785,0.18254371,0.7685514,0.60908085
0.31,l,0.34795418,0.1890938,0.7254763,0.5657942
0.32,<p:>,0.3474586,0.1921197,0.7034442,0.56047994
0.33,<p:>,0.36144572,0.17992648,0.71136534,0.56359506
0.34,<p:>,0.37907812,0.17515409,0.7108193,0.55595875
0.35000000000000003,<p:>,0.3803485,0.16832045,0.69050246,0.56290984
0.36,<p:>,0.40028617,0.16998212,0.68752885,0.55075854
0.37,<p:>,0.42970857,0.18419926,0.6728466,0.53023577
0.38,p,0.48730096,0.19846885,0.6310667,0.48671237
0.39,p,0.49758047,0.23188838,0.6156737,0.46779212
0.4,<p:>,0.21866837,0.06630921,0.73175645,0.69159293
0.41000000000000003,<p:>,0.22252141,0.051718608,0.68464935,0.6331626
0.42,<p:>,0.2018451,0.04314803,0.6883436,0.64022434
0.43,<p:>,0.18489115,0.044222888,0.6870631,0.63667667
0.44,<p:>,0.17028065,0.045555644,0.69438714,0.6491189
0.45,<p:>,0.1489738,0.040122617,0.6968124,0.6425489
0.46,<p:>,0.14229834,0.037178632,0.6920824,0.6296748
0.47000000000000003,<p:>,0.14132132,0.03894868,0.68332756,0.61629945
0.48,<p:>,0.14020321,0.03792504,0.712744,0.6478
0.49,<p:>,0.13736424,0.03382173,0.75788224,0.6752472
0.5,<p:>,0.13763204,0.031737406,0.7836291,0.6953183
0.51,<p:>,0.13738036,0.035551686,0.7807069,0.68761766
0.52,<p:>,0.13733749,0.040968046,0.7572118,0.66882545
0.53,<p:>,0.13961196,0.042096667,0.7423424,0.66055584
0.54,<p:>,0.14363925,0.041650604,0.7470903,0.6736645
0.55,<p:>,0.13908203,0.038471114,0.7265675,0.65231127
0.56,<p:>,0.13886523,0.039190594,0.7182433,0.6365205
0.5700000000000001,<p:>,0.1459958,0.044578783,0.7610801,0.6864877
0.58,<p:>,0.1360279,0.0390099,0.7371689,0.6666772
0.59,<p:>,0.14158867,0.043527745,0.7723008,0.704928
0.6,<p:>,0.13490508,0.043506246,0.77137804,0.69874525
0.61,<p:>,0.13313948,0.048968256,0.7491295,0.667087
0.62,<p:>,0.13689947,0.059278514,0.7059091,0.6038465
0.63,<p:>,0.14313425,0.06261839,0.67979854,0.5787181
0.64,<p:>,0.15403193,0.06503372,0.70559275,0.60652715
0.65,<p:>,0.15987523,0.058698732,0.7384139,0.6549074
0.66,<p:>,0.15259117,0.048881054,0.6804248,0.59279335
0.67,<p:>,0.1539241,0.05050271,0.6422975,0.54880595
0.68,<p:>,0.17090859,0.06254238,0.622852,0.5056771
0.6900000000000001,<p:>,0.18078811,0.059396245,0.6251999,0.5122486
0.7000000000000001,<p:>,0.1792515,0.045584887,0.60506165,0.51928043
0.71,<p:>,0.18146348,0.04477728,0.56126815,0.46927607
0.72,<p:>,0.18930157,0.046822097,0.5485258,0.3976549
0.73,<p:>,0.21251395,0.05738587,0.5357834,0.4226657
0.74,<p:>,0.2206645,0.05549894,0.56372464,0.45869446
0.75,<p:>,0.2207047,0.052617524,0.50294626,0.39514863
0.76,<p:>,0.2331245,0.05342802,0.5029414,0.34476948
0.77,<p:>,0.27072456,0.074852854,0.5029366,0.3493123
0.78,<p:>,0.30820104,0.085542776,0.45203868,0.30608597
0.79,<p:>,0.34259653,0.10910718,0.38812485,0.26049772
0.8,<p:>,0.22834784,0.0484986,0.44436392,0.45613837
0.81,<p:>,0.22594309,0.033404548,0.3716257,0.40325204
0.8200000000000001,<p:>,0.1987321,0.031831246,0.34161386,0.39473534
0.8300000000000001,<p:>,0.17624378,0.034392387,0.36669797,0.4151646
0.84,<p:>,0.17309542,0.03827575,0.43365553,0.48378477
0.85,<p:>,0.16544065,0.04246046,0.49550253,0.5570203
0.86,<p:>,0.15843011,0.03554428,0.4903673,0.51996535
0.87,<p:>,0.15485528,0.036172412,0.54000443,0.56197226
0.88,<p:>,0.1524751,0.03659664,0.5760942,0.5872971
0.89,<p:>,0.1467496,0.03582726,0.61130595,0.59957373
0.9,<p:>,0.13619623,0.03483858,0.63427144,0.5941351
0.91,<p:>,0.13370818,0.035119355,0.6486033,0.5760385
0.92,<p:>,0.1342944,0.037052628,0.64890075,0.57063985
0.93,<p:>,0.13736361,0.040452145,0.63454145,0.54237205
