time,phoneme,vocalic,consonantal,back,anterior,open,close,nasal,stop,target_vowels,target_plosives,non_target_plosives,continuant,lateral,flap,trill,voice,strident,labial,dental,velar,pause
0.0,<p:>,0.028017495,0.06323637,0.052850362,0.034095164,0.025305998,0.021413017,0.017757338,0.02178927,0.04179238,0.030441891,0.011368117,0.12015979,0.06312113,0.19978726,0.000224023,0.017320957,0.20056136,0.016902352,0.021700101,0.04603246,0.9785392
0.01,<p:>,0.011249514,0.046721946,0.01794012,0.015970785,0.008816037,0.011887224,0.00693691,0.019148238,0.016023275,0.02789686,0.008322025,0.11397466,0.024825366,0.13274136,0.00020229993,0.0068585793,0.17742994,0.0141037125,0.016793495,0.03745052,0.984878
0.02,<p:>,0.0063055386,0.03859698,0.009513828,0.009877981,0.0051488406,0.007579845,0.004218834,0.017487882,0.009233258,0.025918253,0.007423519,0.09078443,0.012854747,0.08972553,0.00024025931,0.0041547916,0.14035337,0.012233645,0.014673753,0.030532876,0.9885243
0.03,<p:>,0.004687657,0.03328538,0.0067772064,0.0074497056,0.0040708412,0.005656458,0.0031365573,0.017023439,0.007136911,0.024967043,0.007499769,0.06746355,0.009250336,0.06669766,0.00033923044,0.0032584565,0.10695181,0.011841336,0.013782565,0.02657129,0.99100226
0.04,<p:>,0.0043881033,0.026685892,0.0057266885,0.007597995,0.004058102,0.0049865427,0.0028205174,0.01573675,0.006687015,0.022667745,0.007498924,0.04304381,0.008797231,0.052758448,0.0004363013,0.0031105487,0.066145636,0.011427865,0.012746875,0.022420386,0.9930613
0.05,<p:>,0.007281563,0.026436627,0.0075186472,0.014366582,0.007538635,0.0074524237,0.0043364824,0.015932431,0.009015849,0.023727538,0.008150896,0.034660153,0.014005147,0.05655571,0.0006128156,0.0047083213,0.049569298,0.0125083625,0.013423317,0.023078093,0.9923484
0.06,<p:>,0.011209011,0.023565564,0.014117084,0.018301757,0.012892036,0.0075221774,0.005441091,0.012653919,0.016597204,0.01869907,0.0064127385,0.031235535,0.015425517,0.062837854,0.0003481383,0.006597137,0.039862856,0.01000686,0.010112439,0.01857031,0.9924607
0.07,<p:>,0.012049454,0.020736128,0.020605676,0.014664241,0.01433937,0.005956538,0.0054965345,0.009148743,0.021642456,0.012803862,0.004373252,0.030550223,0.0124127455,0.061917383,0.00015492977,0.006391416,0.034661498,0.0071511264,0.007187048,0.013848492,0.99292135
0.08,<p:>,0.010506972,0.019893229,0.019281784,0.009273536,0.011682995,0.0040935925,0.004777464,0.007190186,0.02176019,0.0099714985,0.003385832,0.033220276,0.009402036,0.05833256,9.919813e-05,0.0050759898,0.03336611,0.005591851,0.005644812,0.011126319,0.9940273
0.09,<p:>,0.0091275815,0.021072334,0.0166369,0.006280539,0.009547956,0.0031439941,0.0041957973,0.00709493,0.020265756,0.009739525,0.0034289705,0.038790755,0.007856045,0.05578207,0.00011761879,0.0043212157,0.035057425,0.005615162,0.0055374093,0.010611382,0.9945502
0.1,<p:>,0.009902882,0.022700833,0.01791507,0.0037627479,0.0096805515,0.0020215274,0.003251618,0.0076929964,0.022468457,0.010352498,0.004024848,0.047465377,0.006088691,0.05714221,0.0001966666,0.004149921,0.036613017,0.0062946244,0.006043273,0.009994449,0.99399436
0.11,<p:>,0.011360778,0.0243918,0.01968705,0.0024532296,0.011061555,0.0013728889,0.0024835488,0.008595382,0.025712715,0.011374474,0.005017162,0.050289113,0.005483418,0.06336181,0.0003531358,0.004539761,0.036879804,0.007452766,0.00670775,0.010136946,0.9934839
0.12,<p:>,0.018888604,0.029446919,0.034599587,0.0022206998,0.01926793,0.0012375478,0.0022939427,0.010261843,0.04540769,0.012655157,0.0067403847,0.05522084,0.0063501555,0.08423916,0.00062767835,0.0075827083,0.036131993,0.009265098,0.007874695,0.011021556,0.99167144
0.13,<p:>,0.026652638,0.029448414,0.050032277,0.0028188438,0.028296245,0.0015360147,0.0025335564,0.0104278,0.060459185,0.011963899,0.0063630887,0.049127534,0.007868825,0.103729926,0.00040777505,0.011241994,0.031538505,0.0082649635,0.0074021663,0.010519451,0.9895085
0.14,<p:>,0.030800922,0.026811788,0.061619207,0.0035773981,0.03458056,0.0020917708,0.0026235636,0.007969509,0.055811707,0.0092278365,0.0038302941,0.04290336,0.007871082,0.10423282,0.000118427175,0.013773893,0.026782019,0.0050126817,0.004957788,0.009286376,0.98741955
0.15,<p:>,0.021677932,0.017878897,0.04647988,0.0029506076,0.02302604,0.0015945694,0.0019693966,0.004341442,0.035572954,0.005405441,0.0016267466,0.031141574,0.0050442056,0.071792156,2.1454254e-05,0.008933099,0.021100497,0.002209386,0.002484429,0.006233132,0.9909614
0.16,<p:>,0.0124089,0.011381071,0.027608586,0.0014995536,0.012094278,0.0007926962,0.00115813,0.0022718043,0.022375196,0.0029861422,0.00072661496,0.022247577,0.0025967082,0.04352685,5.1064917e-06,0.0044225142,0.015650757,0.0010468792,0.0012413207,0.0036500392,0.99541056
0.17,<p:>,0.0066483323,0.008345306,0.014764973,0.00070007535,0.0061072074,0.0003415971,0.0005250982,0.0014679766,0.012710698,0.0020234864,0.0003913458,0.017573547,0.0013677139,0.028800152,2.4667554e-06,0.0022982357,0.012488012,0.00058296445,0.00077091524,0.0023948199,0.99751294
0.18,<p:>,0.00392208,0.0067260875,0.008945962,0.00042240837,0.0035824566,0.0002004782,0.00032248723,0.0011451076,0.008478539,0.0016125147,0.00028947834,0.015014552,0.00086519495,0.021260891,1.9031303e-06,0.0013740151,0.0109379105,0.0004201751,0.00061555195,0.0018123585,0.99836725
0.19,<p:>,0.0027407673,0.005893535,0.006448497,0.00038211278,0.0025218944,0.00018474263,0.00029437756,0.0010963739,0.0062129693,0.0015042303,0.00029889937,0.013210441,0.0007294745,0.017989716,2.0814232e-06,0.0010328664,0.009830593,0.00039580057,0.00063499727,0.0016240337,0.9987089
0.2,<p:>,0.00224362,0.0052685384,0.0053495956,0.00033199793,0.002013632,0.00016390298,0.0002671818,0.0010571611,0.0052465806,0.0014434224,0.000293593,0.011803031,0.00062425545,0.015414193,2.1512762e-06,0.000878206,0.008613081,0.00038277858,0.0006257691,0.0014823491,0.99888384
0.21,<p:>,0.0021034773,0.005095724,0.005107241,0.00039105842,0.0018591444,0.00020319477,0.00030926542,0.0011060328,0.0049627493,0.0014858227,0.00033716825,0.010941521,0.0006793727,0.014718295,2.5293189e-06,0.0008612641,0.00842022,0.00042399004,0.0007072432,0.0015244712,0.9989232
0.22,<p:>,0.0018399328,0.0048339823,0.004505393,0.00043130948,0.0016296689,0.00021046464,0.00031482102,0.0010596971,0.0045124753,0.0014417801,0.00032109235,0.009720802,0.0006952295,0.0139704235,2.3902687e-06,0.0007700122,0.008345994,0.00040720106,0.0006836653,0.0014973803,0.999009
0.23,<p:>,0.0013473174,0.0045358003,0.0033358415,0.00046919988,0.0012371754,0.00020898253,0.0002988851,0.0009827408,0.003494859,0.001365844,0.00029075454,0.0080812285,0.000717473,0.012486641,2.1638732e-06,0.00060480647,0.008280619,0.00036458467,0.0006141133,0.0014547567,0.99917006
0.24,<p:>,0.0011359687,0.00438457,0.002806841,0.00040232934,0.0010229953,0.00017717457,0.0002547816,0.0009048411,0.002983354,0.0013270115,0.00025753895,0.007924778,0.00064551993,0.011580113,2.1822634e-06,0.00050409994,0.008367228,0.00031983724,0.0005521777,0.0013810076,0.9992296
0.25,<p:>,0.0009511228,0.0042605824,0.0023388227,0.00029431327,0.0008218298,0.00013532286,0.00018568976,0.00081221724,0.0023859222,0.0012155343,0.00021541682,0.007867791,0.00048918376,0.009940032,1.9614722e-06,0.000414353,0.00813706,0.00025764407,0.0004866665,0.0012337792,0.9993015
