time,phoneme,target_plosives,non_target_plosives,target_vowels,vocalic
0.0,tS,0.77473795,0.10542497,0.17973813,0.061181642
0.01,tS,0.8398514,0.09305777,0.20330232,0.06415248
0.02,tS,0.7696594,0.09207674,0.45758355,0.17168325
0.03,tS,0.5335549,0.08768876,0.8268694,0.49408352
0.04,rr,0.2757192,0.07836105,0.96208394,0.7891951
0.05,rr,0.08496026,0.06593891,0.97879165,0.88121235
0.06,rr,0.035527598,0.083417326,0.9830159,0.90257215
0.07,rr,0.037894383,0.15742666,0.97768146,0.8839358
0.08,rr,0.040906698,0.2272963,0.9734583,0.84933805
0.09,r,0.03971648,0.1985673,0.9716776,0.8410964
0.1,r,0.089951396,0.14918281,0.9638526,0.81566477
0.11,r,0.6430793,0.12561579,0.92749375,0.689219
0.12,k,0.93948483,0.095369376,0.76311827,0.40105036
0.13,k,0.9749662,0.09674739,0.45667776,0.20371734
0.14,k,0.98990005,0.056373686,0.2674163,0.092196345
0.15,k,0.99616414,0.041509245,0.18586661,0.04553985
0.16,k,0.99818075,0.029933304,0.13092086,0.026355868
0.17,k,0.9980567,0.03416849,0.11160363,0.026071921
0.18,k,0.99411607,0.043647427,0.17259689,0.06600811
0.19,k,0.95042443,0.08423721,0.65231687,0.31294036
0.2,k,0.43034095,0.07728132,0.9520047,0.7197285
0.21,a,0.10455043,0.043041945,0.9877521,0.93434733
0.22,a,0.021840515,0.034844425,0.995291,0.9770159
0.23,a,0.009580244,0.056801926,0.9961171,0.98034596
0.24,a,0.0050484333,0.07732038,0.9929913,0.9721487
0.25,a,0.00621005,0.08469874,0.9876668,0.95411307
0.26,a,0.1449656,0.14814673,0.9683927,0.89969563
0.27,p,0.8647232,0.15304685,0.89462924,0.6129383
0.28,p,0.9397657,0.16452257,0.7791311,0.39530668
0.29,p,0.9805943,0.17720576,0.51560986,0.14489354
0.3,p,0.9885019,0.17107835,0.16109383,0.036492307
0.31,p,0.9917921,0.16715132,0.06431211,0.019181453
0.32,p,0.98382175,0.11352487,0.23056237,0.060922373
0.33,p,0.9538438,0.11804556,0.76040024,0.28455848
0.34,p,0.7191493,0.06451239,0.9669319,0.8100218
0.35000000000000003,a,0.16233793,0.04456605,0.9840227,0.95045096
0.36,a,0.021059627,0.060772374,0.9804523,0.9651896
0.37,a,0.012389634,0.16850351,0.9660839,0.9088376
0.38,r,0.07411123,0.46283576,0.9014226,0.711513
0.39,r,0.29023823,0.28037703,0.4878404,0.31371605
0.4,p,0.93665475,0.09791833,0.25462672,0.23425315
0.41000000000000003,p,0.96427536,0.080859125,0.14621761,0.15902068
0.42,p,0.981559,0.11381492,0.09270523,0.093882814
0.43,p,0.99403137,0.118361,0.040288467,0.02734677
0.44,p,0.9967651,0.10892728,0.049564082,0.016496118
0.45,p,0.99396783,0.08907641,0.09701627,0.03778767
0.46,p,0.98315406,0.07591152,0.34912786,0.11877411
0.47000000000000003,p,0.89886093,0.063866265,0.8305856,0.49092293
0.48,p,0.47902018,0.039854776,0.9510082,0.7970081
0.49,r,0.101670176,0.03266635,0.97497624,0.89453846
0.5,r,0.03376504,0.049818937,0.98302025,0.9283737
0.51,r,0.028761266,0.105540834,0.98277175,0.9266512
0.52,r,0.055944778,0.12724842,0.9754555,0.9096509
0.53,r,0.2766135,0.08398127,0.95345616,0.8466091
0.54,k,0.8861174,0.05159128,0.8505521,0.5869974
0.55,k,0.97189766,0.03691661,0.5144995,0.27106702
0.56,k,0.98683333,0.025583608,0.24547783,0.12545638
0.5700000000000001,k,0.9939066,0.020735146,0.13307236,0.05952097
0.58,k,0.99781203,0.016156998,0.07830178,0.024148818
0.59,k,0.9982566,0.015188178,0.065200076,0.017712224
0.6,k,0.9969475,0.020133972,0.08008611,0.027566537
0.61,k,0.9898531,0.03360478,0.15855727,0.07619338
0.62,k,0.92759347,0.06240427,0.61730653,0.27824074
0.63,a,0.5304891,0.06791174,0.93376666,0.6509074
0.64,a,0.16314623,0.06538628,0.9744426,0.84727
0.65,a,0.06542833,0.09851218,0.98068106,0.9169604
0.66,a,0.029708752,0.13824853,0.98620427,0.9419556
0.67,a,0.015501936,0.14675532,0.9883791,0.95428973
0.68,a,0.01019817,0.114300616,0.9832122,0.9349414
0.6900000000000001,a,0.011567943,0.08981062,0.9558984,0.8668796
0.7000000000000001,a,0.07950565,0.105522,0.8455251,0.6370999
0.71,p,0.8411661,0.1336743,0.5837707,0.29082057
0.72,p,0.96153027,0.15568742,0.35317773,0.19577166
0.73,p,0.9778147,0.18504909,0.19584209,0.11616217
0.74,p,0.98664343,0.2239604,0.091165364,0.048405703
0.75,p,0.9913137,0.23463438,0.044702023,0.022330895
0.76,p,0.9928405,0.20200789,0.024018228,0.013498791
0.77,p,0.9827041,0.16715932,0.061154976,0.06653315
0.78,p,0.92443687,0.13834701,0.3634181,0.28250164
0.79,p,0.7065169,0.11857601,0.37814575,0.62833667
0.8,rr,0.16309759,0.416112,0.83350325,0.7302401
0.81,rr,0.07544067,0.3659625,0.8621693,0.80142134
0.8200000000000001,rr,0.047692996,0.2920216,0.8293485,0.79909873
0.8300000000000001,rr,0.02989256,0.21470247,0.80325633,0.76392305
0.84,rr,0.056614034,0.16159238,0.7265986,0.69660854
0.85,p,0.27652916,0.14430998,0.5228814,0.52242917
0.86,p,0.7289573,0.13753973,0.3130935,0.32506296
0.87,p,0.8682466,0.12498299,0.19069874,0.18653238
0.88,p,0.90230256,0.12881012,0.11643032,0.093855254
0.89,t,0.9218044,0.13206485,0.10459012,0.056375474
0.9,t,0.9237423,0.12185214,0.07991799,0.040325787
0.91,t,0.86442626,0.10842501,0.13282856,0.08576005
0.92,t,0.77628595,0.10613842,0.3328317,0.2194356
0.93,t,0.64055395,0.12993199,0.75119984,0.4612153
0.9400000000000001,a,0.31479174,0.10976395,0.918999,0.7431907
0.9500000000000001,a,0.16662012,0.07902481,0.96316534,0.90855825
0.96,a,0.061715145,0.08304304,0.98123467,0.9632868
0.97,a,0.023349084,0.1017152,0.987043,0.97667724
0.98,a,0.014773098,0.1285753,0.99111605,0.9783572
0.99,a,0.013929651,0.1671972,0.99100447,0.97273535
1.0,a,0.033040587,0.16218057,0.98698276,0.9517609
1.01,a,0.21074626,0.124756284,0.9686718,0.8717448
1.02,k,0.7731246,0.06038971,0.9076116,0.6711647
1.03,k,0.961328,0.036032435,0.66403747,0.28973708
1.04,k,0.98044795,0.024283417,0.42947972,0.1687514
1.05,k,0.9864669,0.018582497,0.24824831,0.099189974
1.06,k,0.9913448,0.016516877,0.15582924,0.05990332
1.07,k,0.99681866,0.014653281,0.095927395,0.031762216
1.08,k,0.99908334,0.012121961,0.0714983,0.012979851
1.09,k,0.9991492,0.014701804,0.07949675,0.011022487
